Paper,Conference,Edition,Year
Tecnologias da informação e comunicação no caminho da sustentabilidade.,IEEE-Ei/Scopus-CNIOT ,3,2017
Sediment impact upon interacting species: modeling and numerical simulation of benthos at Potter Cove.,EasyChair,8,2018
Contribuição ao estudo de fusão de mapas auto organizáveis de Kohonen com ponderação por meio de índices de validação de agrupamentos.,IEIJ ,3,2020
The q-gradient method for global optimization.,TPMC ,17,2018
Análise da tele-educação interativa em tuberculose no Município de Praia Grande.,EH ,7,2022
Virtual stationary timed automata for mobile networks.,NLPA ,20,2022
EIT and electron spin dynamics using SQC.,IC2E ,16,2019
Transport architectures for an evolving Internet.,National Service Learning Conference,19,2023
"Representatives labeling for network-based semi-supervised learning:characterization, highlighting, gain and philosophy.",SERA ,15,2018
Educação em saúde bucal para deficientes visuais mediada por tecnologia da informação.,PBIJ ,1,2017
The effect of verbal messages on user friendliness: An empirical investigation using an intelligent tutoring system.,Text Speech and Dialogue,7,2019
State space computational data modelling and intelligent control.,ICAIT ,18,2021
Modeling generation and characterization of attosecond pulses.,International Conference on Information Systems,4,2022
Uma plataforma para suporte às bibliotecas digitais de eventos científicos com foco na extração de informação.,IEIJ ,7,2018
Optical and computational approaches for mapping brain activity and structure.,DiSLiDaS ,8,2018
A Inserção da Competência Informacional nos currículos dos cursos de Biblioteconomia no Brasil e de Informação e Documentação na Espanha.,BDAP ,19,2019
"Solução de problemas de transporte em meios participantes, na geometria plana paralela, para condições de contorno gerais.",ITCON ,14,2021
Proposal and performance evaluation of a load balancing algorithm for heterogeneous scalable distributed environments (Proposta e avaliação de desempenho de um algoritmo de balanceamento de carga para ambientes distribuídos heterogêneos escaláveis).,EI/Scopus--SPISCS ,10,2018
Dual simplex type methods to two-bounded linear optimization problems.,FCST ,9,2023
"Asynchronous circuits: innovations in components, cell libraries and design templates.",Abstract management,8,2021
Aplicação de computação evolucionária na mineração de dados físico-químicos da água e do solo.,SEAS,9,2019
Mudança organizacional: o caso DECA eletronica da Secretaria da Fazenda do Estado de São Paulo.,Native American Literature Symposium,3,2017
Organization of Artistic Documents in light of the Terminology (Organização da informação e do conhecimento de documentos artísticos à luz da terminologia).,IC2E ,16,2019
Removing DUST using multiple alignment of sequences.,IEEE-Ei/Scopus-CNIOT ,2,2021
"Scheduling under uncertainties: on-line algorithms, cooperative games, and manufacturing outsourcing.","ACCC--Ei Compendex, Scopus ",3,2022
Algoritmos para o empacotamento de bins tridimensionais: uma abordagem distribuída.,ICCS ,15,2017
Exploiting and improving tree-structured graphical models.,Fuzzy ,3,2019
Injection of the tracers in petroleum reservoir: multiscale modeling and numerical simulation.,IEEE-Ei/Scopus-CTISC ,12,2022
"Regressão logística e redes neurais aplicadas à previsão probabilística de alagamentos no Município de Curitiba, Pr.",Native American Literature Symposium,20,2022
Models of information technology outsourcing management: an exploratory study (Modelos de gestão da terceirização de tecnologia da informação: um estudo exploratório).,dsaai ,19,2019
A custom computing framework for orientation and photogrammetry.,IJIST ,11,2020
Uma proposta de arquitetura genética da informação.,ICT ,16,2019
Modelo neurocomputacional dos estágios iniciais da doença de Alzheimer.,EL ,10,2023
Personal data collection and privacy paradox: a study of mobile application users (Coleta de dados pessoais e paradoxo da privacidade: um estudo entre usuários de aplicativos móveis).,ICCS ,11,2021
Miniaturization and integration of photoacoustic detection.,Fuzzy ,7,2018
Projeto e implementação de redes neurais artificiais em distintos níveis de abstrações para o reconhecimento de deficiências de diversos macronutrientes e cultivares.,Sp.issue LNLM - CI & Electrical Systems ,6,2017
"Uma metodologia para captura e exibição dos movimentos cinemáticos endodônticos, baseada em ambientes virtuais com retorno háptico.",GET ,12,2020
Formal verification of communication protocols for wireless networks.,EI/Scopus--AEEGE ,15,2019
Detecção de intrusos em redes de computadores com uso de códigos corretores de erros e medidas de informação.,CD-MAKE ,15,2023
Modelo para um guia de implantação de sistemas de informação geográfica.,Text Speech and Dialogue,15,2018
Energy efficient radio frequency communication systems for wireless microsensors.,Asia-Pacific Regional Conference on Service-Learning,13,2020
ChipCflow - a tool to executing algorithms using dynamic dataflow architecture in FPGA.,DMAP ,5,2023
Learning static object segmentation from motion segmentation.,AIAD ,13,2023
Nonparametric choice modeling: applications to operations management.,IJNSA ,5,2020
Inferência de orientação de dados esparsos para reconstrução de superfícies.,"CCAT--Ei, Scopus ",1,2020
Transcription system of Brazilian sign language to create signed content by 3D avatars.,IJSCMC ,6,2018
Empirical studies about collaboration in competitive software crowdsourcing.,Community Development & Leadership Summit,6,2018
Otimização do controle do diagrama de radiação de radares de varredura para rastreio de foguetes usando o método GAMMC para o Caso Planar (GAMMC-P).,IHCI ,1,2020
Uso de correntropia na generalização de funções cicloestacionárias e aplicações para a extração de características de sinais modulados.,ArIT ,5,2019
Techno-stress entre profissionais da tecnologia informacional.,ICT ,7,2017
Atmospheric temperature soundings and precipitation cell parameter estimation using passive 118-GHz O2 observations.,SPM ,13,2018
Comunicação pública e participação política: estratégias governamentais de uso das tecnologias de informação e comunicação na Bahia (2007 - 2012).,AVC ,18,2019
Aperfeiçoamento tecnologico do processo de crioconcentração: modelagem e simulação.,IJMECH ,7,2020
Algoritmos paralelos e adaptativos no tempo e no espaço para simulação numérica da eletrofisiologia do coração.,IJCI ,16,2020
Learning task-optimal image registration with applications in localizing structure and function in the cerebral cortex.,"IEEE--CCAI--EI Compendex, Scopus ",6,2020
Musical Education of Teachers in Virtual Learning Environments (Formação Musical de Professores em Ambientes Virtuais de Aprendizagem).,Conference on Information Technology,2,2019
Analysis and synthesis of fricative consonants.,"IEEE--ICVR--Ei Compendex, Scopus ",3,2019
Modelo estendido de adoção da tecnologia de comunicação pessoal de voz pela internet.,CSEIT ,16,2021
Data assimilation with artificial neural networks in atmospheric general circulation model.,SAM,5,2018
Fluid animating in digital images.,AITIJ ,16,2023
Transmission scheduling for wireless and satellite systems.,Americas Conference on Information Systems,14,2020
Lagrangean relaxation with clusters for some optimization problems modeled by conflict graphs.,IJPLA ,10,2022
Um enfoque baseado em eventos para processar dados ambientais.,ECTIJ ,11,2022
Avaliação da implantação do Sistema de Informação sobre Nascidos Vivos em municípios de Minas Gerais.,MLNLP ,20,2020
Measured MHD equilibrium in Alcator C.,International Congress of Americanists,4,2021
Si-Ge interdiffusion and its impacts on enhanced mobility metal oxide semiconductor field-effect transistors.,CCSIT ,17,2019
"Estudo de metodos de caracterização de contaminação em processos de fabricação em ""solos limpos"".",Sp.issue LNLM - CI & Electrical Systems ,12,2023
Management model for measurement infrastructure in computer networks.,AIS ,5,2019
On internal language representations in deep learning: an analysis of machine translation and speech recognition.,Association for Machines and Mechanisms,16,2017
Extração de informação não-supervisionada por segmentação de texto.,"ACM--ICCMS--EI Compendex, Scopus ",15,2019
Investigation of marine waterjet inlets during turning maneuvers.,CBDA ,8,2018
The Brazilian Internet Steering Committee (CGI.br): A Socially Molded Evolution of the National Information System.,IJFCSTIA ,8,2023
Real Time Traffic Monitoring System from a UAV Platform.,CSITEC ,16,2023
"Data mining, accuracy assessment and relief shading modeling on land use cover mapping.",COMSCI ,18,2019
Electrostatic pull-in test structure design for in-situ mechanical property measurements of microelectromechanical systems (MEMS).,NLPI ,11,2022
SUDS: automatic parallelization for raw processors.,AIAD ,5,2019
"Tecnologias da informação e comunicação, função composta e regra de cadeia.",IDC ,19,2018
Image characterization and retrieval using visual dictionaries semantically enriched.,IJICS ,19,2021
Information security management a proposal to improve the effectiveness of information security in the scientific research environment.,AIS ,8,2020
Image Processing and Analysis for Measuring Ocular Refraction Errors.,IJFCSTIA ,16,2017
Expert system development for aid n the Bioprocesses design and operation.,IJWSC ,17,2017
Modelo E10: um modelo para estimativas de esforço em manutenção de software.,IEIJ ,5,2021
Data mining applied to the Sistema Integrado de Administração Financeira do Governo Federal SIAFI: auditing the application of federal funds.,EL ,3,2021
Estudo sobre atividade auto sustentada em modelos de redes neurais corticais.,dsaai ,15,2021
Characterization and shaping of ATM traffic flows in the user environment.,SP ,9,2017
Behind the Digital Inclusion: Reflections about information consumption and production in public Internet access centers in Brazil (Por detrás da inclusão digital: Uma reflexão sobre o consumo e a produção de informação em centros públicos de acesso à internet no Brasil).,NLPI ,13,2023
Automatically inferring properties of computer programs.,Text Speech and Dialogue,9,2022
Codigos de linha a partir de codigos corretores de erro concatenados.,National Service Learning Conference,12,2023
Teste baseado na interação entre regras ativas escritas em SQL.,CSEIJ ,16,2018
A integração de redes sociais e tecnológicas: análise do processo de comunicação para inclusão digital.,IJIST ,1,2019
"Estudo das trajetórias de letramento em curso de educação a distância: o texto, o papel e a tela do computador.",DMDBS ,20,2020
Supermaneuverable perching.,SIGL ,5,2023
"Derivation, experimental verification, and applications of a new color image model.",IJFCSTIA ,11,2020
A system for planning and management of watersheds with the use of multicriteria evaluation (Um sistema de planejamento e gestão para bacias hidrográficas com uso de análise multicritérios).,IJITCS ,20,2021
Network coding theory based on commutative algebra and matroids.,AMS ,7,2021
Avaliação da qualidade dos dados do Sistema de Informações sobre Nascidos Vivos (SINASC) em São Luís-MA e Ribeirão Preto-SP.,IC2E ,4,2019
Bias na Representação de Assunto: Uma Discussão de Oposições Binárias nos Functional Requirements for Subject Authority Data (FRSAD).,NLPI ,2,2022
Investigation of trapped vortex combustion using hydrogen-rich fuels.,SERA ,17,2023
"Politics, techno-economic acceleration and patents: technological upcoming developments.",I4CS ,10,2018
Graph-based classification for stationary and non-stationary data.,AIMS Meeting,14,2022
"Diagnóstico e monitoramento ambiental da microbacia hidrográfica do rio Queima-Pé, MT.",ACSIT ,10,2019
Uma classe de codigos produto e sua decodificação turbo aplicada em um sistema CDMA multiportadora.,Asia-Pacific Regional Conference on Service-Learning,5,2019
Aqueous Microdroplet Generation in Oil-Free Environments.,IJMIT ,1,2022
Efficient modularity density heuristics in graph clustering and their applications.,CoNeCo ,14,2017
Visualização de estruturas internas em volumes de dados multimodais.,The Aging Symposium,15,2023
Designing subwavelength-structured light sources.,IJDKP ,15,2022
Implementation and analysis of computational chemistry tools applied to the processes development.,SOENG ,18,2018
Modelagem geoestatística por geoprocessamento em uma área da Baixada Santista.,IJFCSTIA ,15,2023
Trabalho colaborativo em rede no Projeto Um Computador por Aluno (UCA): conhecimentos e prÃticas docentes.,ITCSE ,4,2019
Ensaios em gestão de risco e regulação bancária.,"IEEE--ICVR--Ei Compendex, Scopus ",9,2018
Proposta de um modelo computacional para representação de sinais em uma arquitetura de serviços HCI-SL para línguas de sinais.,IJCSA ,20,2020
Algoritmos para o problema da clique máxima: análise e comparação experimental.,International Congress of Actuaries,6,2021
"Digital evidence in the criminal procedure: definition of concept, characteristics and systematization of the evidenciary procedure (Provas digitais no processo penal: formulação do conceito, definição das características e sistematização do procedimento probatório).",International Conference on Web Services,11,2017
Comunihc-es: ferramenta de Apoio à ComunicaçãO entre Profissionais de IHC E Engenheiros de Software.,CBDA ,2,2023
Aplicação da computação simbólica na resolução de problemas de condução de calor em cilindros vazados com condições de contorno convectivas.,CoNeCo ,18,2020
Data Warehouses na era do Big Data: processamento eficiente de Junções Estrela no Hadoop.,GreenCom ,5,2019
Avaliação do sistema informático perinatal (SIP CLAP OPS) no monitoramento da assistência hospitalar perinatal em Minas Gerais.,Asia-Pacific Regional Conference on Service-Learning,13,2021
Exploration of automatic methods for multi-document summarization using discourse models.,IEIJ ,14,2022
Exact geometry algorithms for robotic motion planning.,CBDA ,13,2018
Underwater acoustic channel estimation using multiple sources and receivers in shallow waters at very-high frequencies.,Asian Symposium on Medicinal Plants Spices and Other Natural Products,20,2023
Latent variable models for understanding user behavior in software applications.,AIS ,10,2019
"Modeling and stochastic simulation to study the dynamics of Rickettsia rickettsii in populations of Hydrochoerus hydrochaeris and Amblyomma sculptum in the State of São Paulo, Brazil.",CSC ,19,2017
Anti-aliased shadow mapping for large-scale and dynamic scenes.,"ACCC--Ei Compendex, Scopus ",2,2022
A study of deposit collections of the Florida Division of Blind Services Library for the Blind and Physically Handicapped.,Native American Literature Symposium,5,2020
"Low pressure epitaxial growth, fabrication and characterizion of Ge-on-Si photodiodes.",The Science of Consciousness,3,2018
Motion estimation from RGBD images using graph homomorphism.,SEAS,4,2021
Uma Teoria substantiva para o alinhamento da unidade de tecnologia da informação com a organização.,IJSEA ,8,2017
Projeto e implementação em VLSI de uma rede neural auto-organizavel usando sintese automatica de auto nivel.,International Conference on Information Systems Security and Privacy,12,2019
Abordagem de teste baseada em defeitos para esquemas de dados.,"WSEA--Ei Compendex, Scopus ",14,2019
Mecanismo de otimização para sobrevivência em WLAN: estudo de caso de rede IEEE 802.11.,ACM--AITC--Ei and Scopus ,3,2020
Orquestração de técnicas e mecanismos de economia de energia consciente do desempenho das aplicações em nuvem (Performance-Aware Energy-Efficient Cloud Orchestration).,AMMS--EI and Scopus,18,2017
Models and Methods for Human-Computer Interaction Using Hands Gestures.,DiSLiDaS ,14,2022
A collocation polynomial method for singular integro-differential equations: convergence.,International Conference on Parallel and Distributed Systems,5,2021
Visão sistêmica do Sítio Arqueológico Piracanjuba: a descoberta de conhecimento em sítios arqueológicos.,IJPLA ,7,2020
"Object-oriented: definition, implementation and analysis of validation and testing resources.",IJMSA ,4,2023
Governança de tecnologia de informação: estrutura e práticas.,European Conference on Information Systems,8,2018
"Spatio-econometric analysis on urban growth and spatial planning performances: case study in Guangzhou of PRD, China.",European Conference on Digital Libraries,18,2017
Monitoração e roteamento adaptativo para fluxos QoS em NoCs.,Association for Laboratory Phonology,8,2020
Recomendações de melhoria baseadas na cultura organizacional para iniciativas em melhoria de processo de software.,ADEIJ ,2,2018
Noise shaping techniques for analog and time to digital converters using voltage controlled oscillators.,International Congress of Quantum Chemistry,5,2023
The influence of edifications on the propagation of electromagnetic waves generated by atmospheric discharges (Influência das edificações na propagação de ondas eletromagnéticas geradas por descargas atmosféricas).,IEIJ ,17,2019
Gestão de cursos tecnológicos a distância com aplicação de laboratórios virtuais.,DTMN ,13,2023
"Metodologia para paralelização e otimização de modelos matemáticos e computacionais, utilizando uma nova linguagem de programação.",CSC ,13,2017
A fully kinetic model for the electron flow in a crossed field device.,Asia-Pacific Regional Conference on Service-Learning,10,2020
Um assistente pessoal de aprendizagem continuada na web.,New Ways of Analyzing Variation,14,2021
An examination of hurricane vulnerability of the U.S. northeast and mid-Atlantic region.,Fuzzy ,2,2018
A forward model-based analysis of cardiovascular system identification methods.,AVC ,2,2018
Study of substrate noise and techniques for minimization.,Abstract management,19,2020
Extração de conhecimentos com interpretabilidade aumentada utilizando modelagem fuzzy e otimização multi-objetivo.,International Conference on Information Systems Security and Privacy,12,2022
Technoeconomic aspects of next-generation telecommunications including the Internet service.,CSC ,19,2019
Geometric and photometric constraints: motion and structure from three views.,BDBS ,6,2020
Simulação em tempo real de sistemas de distribuição de energia elétrica utilizando-se estruturas com descrição de hardware em software.,Abstract management,5,2021
Busca e uso da informação na autogestão corporal.,DMA ,20,2019
Análise da estabilidade estática de tensão de sistemas elétricos de potência usando uma rede neural baseada na teoria da ressonância adaptativa.,CSC ,18,2019
Average reachability and average controllability for continuous-time markov jump linear systems.,IJITCS ,13,2018
A theory of syntactic recognition for natural language.,IJGCA ,20,2019
Comunicação e processos de criação em código aberto: um estudo sobre sistemas de visualização de dados.,IJMSA ,7,2019
Fuzzy Algorithm for Priority estimation in Immediate Area Networks.,MEAP ,13,2017
SOMA - Sistema Orgânico de Manufatura Autônoma: uma abordagem distribuida para o gerenciamento do chão de fábrica.,Asian Conference on Electrochemical Power Sources,10,2020
"Pensar ""logo"", falar ""logo"": interações entre linguagem natural e linguagem artificial.",MEAP ,15,2021
Motion estimation for frame-rate conversion.,EI/Scopus--AEEGE ,17,2023
Anthills built to order: automating construction with artificial swarms.,Games Learning & Society Conference,7,2018
Modelos de ConcorrêNcia E CoordenaçãO para O Desenvolvimento de Aplicações orientadas a eventos EM Lua.,Conference on Information Technology,2,2020
Large-scale optimization in online-retail inventory management.,IJP2P ,7,2018
Probabilistic methods for distributed information dissemination.,Sp.issue LNLM - CI & Electrical Systems ,10,2023
"Gestão de conhecimento: linguagem, forma e impacto na comunicação em redes de informação.",SPM ,7,2021
Layered architecture model for interconnection of systems in UAS.,European Conference on Digital Libraries,12,2020
Um modelo de sistema de gestão do conhecimento em um framework para a promoção da permanência discente no ensino de graduação.,IJDMS ,8,2021
Simulações computacionais do escoamento cardiovascular guiadas por ressonância magnética.,Asia-Pacific Regional Conference on Service-Learning,7,2021
Estudo computacional sobre a influência de sinapses elétricas entre bastonetes na faixa dinâmica escotópica da retina de vertebrados.,AITIJ ,10,2017
Parallel algorithms and architectures for low power video decoding.,IJGCA ,6,2023
Novos metodos em processamento de sinais cerebrais: aplicações em eletroencefalografia e ressonância magnética funcional.,GreenCom ,7,2020
Algorithmic embeddings.,CBDA ,13,2022
Contrução de paginas Web: depuração e especificação de um ambiente de aprendizagem.,AMS ,15,2020
Identificação de relações de importância entre elementos de maturidade de alinhamento negócios-TI e tipos estratégicos.,ICDT ,6,2020
Content-based retrieval of compressed videos.,NC ,18,2021
Development of tunable terahertz quantum cascade wire lasers.,CSEA ,8,2017
"Sistemas de cálculo, análise e operação virtual: interferências de campos elétricos e magnéticos produzidas por estações radio base de acesso múltiplo por divisão de código em banda larga - WCDMA.",Asian Conference on Electrochemical Power Sources,4,2017
Graph labeling and non-separating trees.,AIMS Meeting,20,2017
Scalable fault management architecture for dynamic optical networks: an information-theoretic approach.,SPM ,9,2017
Efficient method for analysis of complex networks of water supply.,dsaai ,15,2020
Towards low-power yet high-performance networks-on-chip.,Community Development & Leadership Summit,19,2018
Exploring mobile privacy in context.,AITIJ ,2,2019
Temporal large eddy simulation of turbulent flows via finite volume method.,TSP ,7,2020
Detecção e diagnostico de falhas em sistemas de processos quimicos. Importancia do conhecimento de estados intermediarios de processos dinamicos. Desenvolvimento de uma metodologia baseada em redes neurais.,CSITEC ,12,2017
Scalable trap technology for quantum computing with ions.,Annual International Conference on Real Options,14,2022
A concepção de um modelo de cidade digital baseado nas necessidades informacionais do cidadão: o caso dos municípios brasileiros de pequeno porte.,Asian Symposium on Medicinal Plants Spices and Other Natural Products,10,2023
Improvement of an architecture for social robotics.,Text Speech and Dialogue,4,2019
Multi-label and hierarchical semi-supervised learning approaches.,ACSIT ,9,2020
Estudo evolutivo das percepções infantis no uso de ferramentas computacionais.,ICCS ,4,2022
Low power data-dependent transform video and still image coding.,IJGTT ,1,2020
Oblivious RAM: from theory to practice.,International Conference on Parallel and Distributed Systems,1,2017
Adaptive array signal processing and performance analysis in non-Gaussian environments.,NLAI ,8,2020
O componente emergente do processo de alinhamento estratégico.,SIGL ,18,2019
Microfluidic single-cell technologies for assaying lymphocyte interactions.,AIS ,1,2022
Physics of electrical degradation in GaN high electron mobility transistors.,IC2E ,16,2017
Testing symmetric properties of distributions.,Native American Literature Symposium,5,2018
Online mapping: ways of computing at school with teachers who produce knowledge in training.,I4CS ,13,2022
Metodologia para inovação tecnológica através de sistema colaborativo de inclusão digital e certificação na agricultura familiar.,ICT ,1,2017
Definição de áreas prioritárias para conservação e preservação florestal por meio da abordagem multicriterial em ambiente SIG.,GET ,14,2023
Open transaction services for dynamic environments.,Americas Conference on Information Systems,14,2018
Resource allocation and scheduling for communication satellites with advanced transmission antennas.,NEATCLasS ,19,2017
Sistema de informação para o controle dos recursos energéticos no meio rural.,CSITEC ,3,2023
Accelerating Benders decomposition for network design.,ICDT ,10,2022
Field emission from organic materials.,DMA ,7,2023
Information fusion for monolingual and cross-language spoken document retrieval.,SIGL ,1,2022
Exploring attributes and instances for customized learning based on support patterns.,Sp.issue LNLM - CI & Electrical Systems ,7,2018
Detection and classification of marine mammal sounds.,Aarhus Symposium,15,2023
Mineração de dados usando álgebra linear para a predição de alvos drogáveis.,AIS ,2,2023
Desenvolvimento de software para avaliação dos desempenhos hidráulico e econômico de pivôs centrais.,"IEEE--ICVR--Ei Compendex, Scopus ",14,2021
Ensemble Learning Algorithms for the Analysis of Bioinformatics Data.,ADEIJ ,16,2023
VisualizaçãO de Modelos Massivos de ReservatóRIOS naturais de PetróLEO.,IJNSA ,2,2019
Coordination between presynaptic and postsynaptic properties measured at single terminals in hippocampal cultures.,CoNeCo ,3,2021
Metodologia de aprendizado baseado em algoritmos genéticos para modelos alternativos de redes IAC.,IHCI ,15,2023
Semi-automatic generation of extended finite state machines from natural language standard document.,CSITA ,18,2018
"Informação, aprendizagem e criação do conhecimento em comunidades de prática: um estudo de caso.",ICCSEA ,12,2022
Itinerary-based airline fleet assignment.,IEIJ ,18,2018
Avaliação de predições genômicas utilizando redes neurais com regularização Bayesiana.,IJGTT ,12,2020
Distance Education and Corporate Universities: a study about tutoring systems at educational programs (Educação a Distância e Universidade Corporativa: um estudo sobre os sistemas de tutoria dos programas educacionais).,CSITA ,19,2020
Conversão fala-texto em português do Brasil integrando segmentação sub-silábica e vocabulário ilimitado.,CSEIT ,15,2019
Nonvolatile hologram storage in BaTiO₃.,"ACM--ICHMI--Ei Compendex, Scopus ",5,2023
Morphological coding of images.,"ICCEE--Ei Compendex, Scopus ",16,2022
Índice de seleção e lógica fuzzy aplicada à seleção de clones de cana-de-açúcar.,IEEE-Ei/Scopus-CNIOT ,14,2019
Metodologia de uso e ocupação dos solos de cidades costeiras brasileiras através de SIG com base no comportamento geotécnico e ambiental.,IJDMS ,3,2021
Energy-aware reconfigurable logic array.,IJIST ,5,2019
Computational methods for multi-objective control.,"WSEA--Ei Compendex, Scopus ",15,2020
Práticas educativas digitais: uma cultura participativa em formação.,IEEE-Ei/Scopus-CTISC ,18,2023
Phase synchronization in chaotic systems and its applicability in pattern recognition.,CCSIT ,6,2017
Registro de radiografias periapicais para a técnica de subtração.,EDU ,17,2023
Stochastic unit commitment in a deregulated electric utility industry.,CCSIT ,5,2021
Modelagem de fragilidade ambiental usando índices baseados em dados espaciais e com suporte de sistema especialista.,ICCS ,18,2022
Lutheran school teachers' instructional usage of the interactive whiteboard.,IJFCST ,6,2023
An experimental study of elementary student's music appreciation in music teaching via computer.,ACSIT ,5,2023
Análise das condições de operação do Sistema de Informação de Agravos de Notificação (SINAN) nos municípios paulistas.,EI/Scopus--DMBDA ,13,2017
Dinâmica da paisagem na região nordeste do estado do Rio Grande do Sul.,"IEEE--PRML--Ei, Scopus ",4,2021
Design and analysis of reconfigurable analog system.,Comunica2,2,2021
Feedforward-feedback control applied to the absorption columns of the ethanol production process by fermentation.,DMML ,19,2017
"Análise e otimização de projetos de pagamentos por serviços ambientais (PSA) utilizando sistemas de informações geográficas (SIG) - o caso do município de Extrema, MG.",ACIJ,18,2022
Technology for intentional reflection and learning in constructionist cooperatives.,IDC ,8,2022
Avaliação da qualidade de agrupamentos em grafos.,Geohorizon,11,2020
Integrando ComunicaçãO ASsíNcrona E GerêNcia Cooperativa de tarefas EM Ambientes de ComputaçãO Distribuída.,CSITA ,11,2022
Gerenciamento de recursos flexível e integrado para ambientes de nuvem iaas baseado em programabilidade.,MIET ,18,2020
Institucionalização cognitiva e social da Organização e Representação do Conhecimento na Ciência da Informação no Brasil.,COMSCI ,13,2018
Development of procedures and Soft-Sensors for control in PET plants.,INSIGHT ,12,2022
Using rigging and transfer to animate 3D characters.,ITCON ,4,2018
Avaliação do instrumento SAM para a etiquetagem de atributos afetivos de imagens em ambiente web.,EAMM ,15,2018
Imagens de profundidade: segmentação e representação por superficies planares.,Aarhus Symposium,7,2022
Um mecanismo de sincronismo de precisão para relógios em rede.,Conference on Information Technology,17,2023
Um modelo para recuperação e busca de informação baseado em ontologia e no círculo hermenêutico.,Nobel Conference,16,2018
Sistematização da concepção de produtos auxiliada por computador com aplicações no domínio de componentes de plástico injetados /.,EI/Scopus--AEEGE ,10,2018
Single electron charging effects in quantum dot nanostructures.,MEC ,10,2023
Sistema integrado de mapeamento para manejo de bacias hidrograficas.,Community Development & Leadership Summit,18,2022
Avaliação do desempenho de alunos na elaboração do problema de pesquisa em um programa de ensino informatizado.,Association for Machines and Mechanisms,7,2017
Fluxos de informação em rede: dinâmica e interação.,Georgetown Leadership Seminar,1,2019
Super resolução baseada em métodos iterativos de restauração.,IEEE-Ei/Scopus-CTISC ,7,2018
State transfer and manipulation of quantum information by nonlocal dissipative tunneling (Transferência e manipulação de informação quântica via tunelamento dissipativo não local).,IJDMS ,3,2017
Optimization of processes in textile industry: models and solution methods.,"ICCCS--IEEE, Ei Compendex, Scopus ",15,2017
Um verificador de modelos explícito-simbólico.,EI/Scopus--AEEGE ,12,2022
Visualização computacional como apoio à identificação do interesse do aluno em ambientes de EAD.,SOENG ,1,2022
Extração de relações do domínio de organizações para o português.,IJANS ,10,2019
Aplicações da sequência Fedathi na promoção do raciocínio intuitivo no cálculo a várias variáveis.,SPM ,12,2018
Fast subpixel registration of 3-D images.,Fuzzy ,14,2021
Energy-efficient smart embedded memory design for IoT and AI.,CSEA ,16,2022
Texture classification using arma models and distances of autocorrelation function.,"ACM--ICBDC--EI Compendex, Scopus ",19,2017
Numerical techniques for electromagnetic applications in microelectronic and radar imaging systems.,ICT ,16,2017
Programando Redes de sensores SEM Fio com Scripts sobre Componentes customizados.,Asian Conference on Electrochemical Power Sources,11,2019
"Um modelo para planejar, implementar e acompanhar a estratégia de CRM (Customer Relationship Management).",TPMC ,9,2022
Projective nonlinear minimal analysis of camera geometry.,"NLPAI--Ei Compendex, Scopus ",13,2023
Approximation algorithms for multicommodity flow and shop scheduling problems.,Sp.issue LNLM - CI & Electrical Systems ,4,2020
Using visual-interactive properties in the data quality assessment.,NLCA ,19,2021
Confiança EM Agentes Inteligentes.,IJDKP ,16,2017
Nas ondas da informação: interfaces entre o pensamento geográfico e a geografia econômica para o estudo das telecomunicações no Brasil.,International Conference on Parallel and Distributed Systems,2,2020
CIDADANIA DIGITAL: Um estudo do programa brasileiro para a sociedade da informação.,"IEEE--PRML--Ei, Scopus ",16,2019
Clinical feasibility of Raman spectroscopy for quantitative blood glucose measurement.,NLPD ,3,2017
Desenvolvimento de um sistema de gerenciamento de energia (EMS - Energy Management System) para a rede elétrica inteligente (Smart Grid).,IJDKP ,4,2020
Algebraic methods in randomness and pseudorandomness.,AMS ,11,2018
A ocupação de espaços digitais para divulgação de tema transversal em ambiente virtual de aprendizagem na UTFPR: uma abordagem complexa.,IEIJ ,16,2017
Robust Probabilistically Checkable Proofs of proximity and shorter Robust Probabilistically Checkable Proofs.,"IEEE--ICVR--Ei Compendex, Scopus ",10,2021
"Achieving consensus in fault-tolerant distributed computer systems: protocols, lower bounds, and simulations.",CSEA ,15,2018
A prototype of collaborative virtual geographic environments to facilitate air pollution simulation.,AIMS Meeting,14,2017
Domain-specific language & support tools for high-level stream parallelism.,"ACM--ICHMI--Ei Compendex, Scopus ",5,2021
A self-adaptive infrastructure based on software product line for fault-tolerant composite services.,IJASA ,1,2021
Representação iterativa: um modelo para repositórios digitais.,IJCSIT ,3,2021
What and where: a Bayesian inference theory of visual attention.,Demos@AIME ,15,2019
Hy-SAIL: uma nova abordagem para distribuição e armazenamento de informações em ambientes de computação em nuvem.,"NLPAI--Ei Compendex, Scopus ",19,2020
Toward visual understanding of everyday object.,MLAINLP ,2,2019
Body coupled communication: the channel and implementation.,SAM,4,2022
Autotuning programs with algorithmic choice.,SP ,16,2018
"Traffic modelling, policing and scheduling in Ethernet passive optical networks.",SEAS,10,2023
FOLE: Um framework conceitual para avaliação de desempenho da elasticidade em ambientes de computação em nuvem.,BDAP ,2,2019
Limites e possibilidades do uso de portais municipais para promoção da cidadania: a construção de um modelo de análise e avaliação.,Games Learning & Society Conference,11,2020
Liberdade de expressão e comunicação.,International Conference on Information Systems,5,2023
Crystal structure of paired domain-DNA complex.,RuhrSec ,7,2020
Comprehensive inverse modeling for the study of carrier transport models in sub-50nm metal oxide semiconductor field-effect transistors.,IJANS ,8,2017
