paper,author
Finding bottlenecks in large scale parallel programs.,James P. M. Ntozi
"Finite domain constraints - declaritivity meets efficiency, theory meets application.",Amritpal Singh Bhachu
"Finite domain constraints - declaritivity meets efficiency, theory meets application.",Mohamed Medhat Gaber
"Finite domain constraints - declaritivity meets efficiency, theory meets application.",Pietro Coli
"Finite domain constraints - declaritivity meets efficiency, theory meets application.",James P. M. Ntozi
Flexible Kontrolle in Expertensystemen zur Planung und Konfigurierung in technischen Domänen.,Amritpal Singh Bhachu
Flexible Kontrolle in Expertensystemen zur Planung und Konfigurierung in technischen Domänen.,Mohamed Medhat Gaber
Flexible Kontrolle in Expertensystemen zur Planung und Konfigurierung in technischen Domänen.,Pietro Coli
Flexible Kontrolle in Expertensystemen zur Planung und Konfigurierung in technischen Domänen.,James P. M. Ntozi
Flexible Kontrolle in Expertensystemen zur Planung und Konfigurierung in technischen Domänen.,André Frank Krause
Flexible Steuerung eines sprachverstehenden Systems mit homogener Wissensbasis.,Amritpal Singh Bhachu
Flexible Steuerung eines sprachverstehenden Systems mit homogener Wissensbasis.,Mohamed Medhat Gaber
Flexible Steuerung eines sprachverstehenden Systems mit homogener Wissensbasis.,Pietro Coli
Flexible Steuerung eines sprachverstehenden Systems mit homogener Wissensbasis.,James P. M. Ntozi
Flexible Steuerung eines sprachverstehenden Systems mit homogener Wissensbasis.,André Frank Krause
Flow analysis of typed higher-order programs.,Amritpal Singh Bhachu
Flow analysis of typed higher-order programs.,Mohamed Medhat Gaber
Flow analysis of typed higher-order programs.,Pietro Coli
Flow analysis of typed higher-order programs.,James P. M. Ntozi
Flow analysis of typed higher-order programs.,André Frank Krause
Formal languages and recursion schemes.,Amritpal Singh Bhachu
Formal languages and recursion schemes.,Mohamed Medhat Gaber
Formal languages and recursion schemes.,Pietro Coli
Formal languages and recursion schemes.,James P. M. Ntozi
Formal languages and recursion schemes.,André Frank Krause
Formal methods and the development of dependable systems.,Amritpal Singh Bhachu
Formal methods and the development of dependable systems.,Mohamed Medhat Gaber
Formal methods and the development of dependable systems.,Pietro Coli
Formal methods and the development of dependable systems.,James P. M. Ntozi
Formal methods and the development of dependable systems.,André Frank Krause
Formal reuse of hardware design.,Amritpal Singh Bhachu
Formal reuse of hardware design.,Mohamed Medhat Gaber
Formal reuse of hardware design.,Pietro Coli
Formale Sprachen von markierten Graphen.,Amritpal Singh Bhachu
Formale Sprachen von markierten Graphen.,Mohamed Medhat Gaber
Formale Sprachen von markierten Graphen.,Pietro Coli
Formale Sprachen von markierten Graphen.,James P. M. Ntozi
Formale Sprachen von markierten Graphen.,André Frank Krause
Formalisierung von unsicherem Wissen.,Amritpal Singh Bhachu
Formalisierung von unsicherem Wissen.,Mohamed Medhat Gaber
Formalisierung von unsicherem Wissen.,Pietro Coli
Formalisierung von unsicherem Wissen.,James P. M. Ntozi
Formalisierung von unsicherem Wissen.,André Frank Krause
Formalising process calculi in higher order logic.,Amritpal Singh Bhachu
Formalising process calculi in higher order logic.,Mohamed Medhat Gaber
Formalising process calculi in higher order logic.,Pietro Coli
Formalising process calculi in higher order logic.,James P. M. Ntozi
Formalising process calculi in higher order logic.,André Frank Krause
From types to dataflow - code analysis for an object-oriented language.,Amritpal Singh Bhachu
From types to dataflow - code analysis for an object-oriented language.,Mohamed Medhat Gaber
From types to dataflow - code analysis for an object-oriented language.,Pietro Coli
Funktionsorientierte Hardware zur Lösung des Suchproblems - Entwicklung und Möglichkeiten.,Amritpal Singh Bhachu
Funktionsorientierte Hardware zur Lösung des Suchproblems - Entwicklung und Möglichkeiten.,Mohamed Medhat Gaber
Funktionsorientierte Hardware zur Lösung des Suchproblems - Entwicklung und Möglichkeiten.,Pietro Coli
Generalisierung bei neuronalen Netzen geringer Komplexität.,Amritpal Singh Bhachu
Generalisierung bei neuronalen Netzen geringer Komplexität.,Mohamed Medhat Gaber
Generalisierung bei neuronalen Netzen geringer Komplexität.,Pietro Coli
Generic image structure.,Amritpal Singh Bhachu
Generic image structure.,Mohamed Medhat Gaber
Generic image structure.,Pietro Coli
Generierung domänenspezifischer Wissensrepräsentationssysteme und Transformation von Wissensbasen mit einer Anwendung in der Rechtsinformatik.,Amritpal Singh Bhachu
Generierung domänenspezifischer Wissensrepräsentationssysteme und Transformation von Wissensbasen mit einer Anwendung in der Rechtsinformatik.,Mohamed Medhat Gaber
Generierung domänenspezifischer Wissensrepräsentationssysteme und Transformation von Wissensbasen mit einer Anwendung in der Rechtsinformatik.,Pietro Coli
Generierung domänenspezifischer Wissensrepräsentationssysteme und Transformation von Wissensbasen mit einer Anwendung in der Rechtsinformatik.,James P. M. Ntozi
Generierung domänenspezifischer Wissensrepräsentationssysteme und Transformation von Wissensbasen mit einer Anwendung in der Rechtsinformatik.,André Frank Krause
Grafische Wissensakquisitionssysteme und ihre Generierung.,Amritpal Singh Bhachu
Grafische Wissensakquisitionssysteme und ihre Generierung.,Mohamed Medhat Gaber
Grafische Wissensakquisitionssysteme und ihre Generierung.,Pietro Coli
Grammatikentwicklung mit Constraint Logik Programmierung. Implementierung einer Grammatik für das Deutsche mit PROLOG III.,Amritpal Singh Bhachu
Grammatikentwicklung mit Constraint Logik Programmierung. Implementierung einer Grammatik für das Deutsche mit PROLOG III.,Mohamed Medhat Gaber
Grammatikentwicklung mit Constraint Logik Programmierung. Implementierung einer Grammatik für das Deutsche mit PROLOG III.,Pietro Coli
Grammatikentwicklung mit Constraint Logik Programmierung. Implementierung einer Grammatik für das Deutsche mit PROLOG III.,James P. M. Ntozi
Grammatikentwicklung mit Constraint Logik Programmierung. Implementierung einer Grammatik für das Deutsche mit PROLOG III.,André Frank Krause
Graphembasierte On-line-Erkennung fließender Handschrift.,Amritpal Singh Bhachu
Graphembasierte On-line-Erkennung fließender Handschrift.,Mohamed Medhat Gaber
Graphembasierte On-line-Erkennung fließender Handschrift.,Pietro Coli
Graphembasierte On-line-Erkennung fließender Handschrift.,James P. M. Ntozi
Graphembasierte On-line-Erkennung fließender Handschrift.,André Frank Krause
Handling realtime traffic in mobile networks.,Amritpal Singh Bhachu
Handling realtime traffic in mobile networks.,Mohamed Medhat Gaber
Handling realtime traffic in mobile networks.,Pietro Coli
Handling realtime traffic in mobile networks.,James P. M. Ntozi
Handling realtime traffic in mobile networks.,André Frank Krause
Hardware and software mechanisms for reducing load latency.,Amritpal Singh Bhachu
Hardware and software mechanisms for reducing load latency.,Mohamed Medhat Gaber
Hardware and software mechanisms for reducing load latency.,Pietro Coli
Hardware and software mechanisms for reducing load latency.,James P. M. Ntozi
Heuristische Suche unter Speicherbeschränkungen.,Amritpal Singh Bhachu
Heuristische Suche unter Speicherbeschränkungen.,Mohamed Medhat Gaber
Heuristische Suche unter Speicherbeschränkungen.,Pietro Coli
Hochauflösende störungsfreie Entfernungsmessung mit Ultraschall durch korrelative Verfahren.,Amritpal Singh Bhachu
Hochauflösende störungsfreie Entfernungsmessung mit Ultraschall durch korrelative Verfahren.,Mohamed Medhat Gaber
Hochauflösende störungsfreie Entfernungsmessung mit Ultraschall durch korrelative Verfahren.,Pietro Coli
Holomorphe C-Operationen auf komplexen Flächen.,Amritpal Singh Bhachu
Holomorphe C-Operationen auf komplexen Flächen.,Mohamed Medhat Gaber
Holomorphe C-Operationen auf komplexen Flächen.,Pietro Coli
Holomorphe C-Operationen auf komplexen Flächen.,James P. M. Ntozi
Holomorphe C-Operationen auf komplexen Flächen.,André Frank Krause
Homology and cohomology of toric varieties.,Amritpal Singh Bhachu
Homology and cohomology of toric varieties.,Mohamed Medhat Gaber
Homology and cohomology of toric varieties.,Pietro Coli
Human oriented proof presentation - a reconstructive approach.,Amritpal Singh Bhachu
Human oriented proof presentation - a reconstructive approach.,Mohamed Medhat Gaber
Human oriented proof presentation - a reconstructive approach.,Pietro Coli
Human oriented proof presentation - a reconstructive approach.,James P. M. Ntozi
Hypermediabasiertes Knowledge Engineering für verteilte wissensbasierte Systeme.,Amritpal Singh Bhachu
Hypermediabasiertes Knowledge Engineering für verteilte wissensbasierte Systeme.,Mohamed Medhat Gaber
Hypermediabasiertes Knowledge Engineering für verteilte wissensbasierte Systeme.,Pietro Coli
Hypermediabasiertes Knowledge Engineering für verteilte wissensbasierte Systeme.,James P. M. Ntozi
Identifikation von Systemen mit Hysterese mit Hilfe von Preisach-Neuronen in vorstrukturierten neuronalen Netzen.,Amritpal Singh Bhachu
Identifikation von Systemen mit Hysterese mit Hilfe von Preisach-Neuronen in vorstrukturierten neuronalen Netzen.,Mohamed Medhat Gaber
Identifikation von Systemen mit Hysterese mit Hilfe von Preisach-Neuronen in vorstrukturierten neuronalen Netzen.,Pietro Coli
Implizite und explizite Induktionsbeweisverfahren.,Amritpal Singh Bhachu
Implizite und explizite Induktionsbeweisverfahren.,Mohamed Medhat Gaber
Implizite und explizite Induktionsbeweisverfahren.,Pietro Coli
Implizite und explizite Induktionsbeweisverfahren.,James P. M. Ntozi
Implizite und explizite Induktionsbeweisverfahren.,André Frank Krause
Improving computer communication performance by reducing memory bandwidth consumption.,Amritpal Singh Bhachu
Improving computer communication performance by reducing memory bandwidth consumption.,Mohamed Medhat Gaber
Improving computer communication performance by reducing memory bandwidth consumption.,Pietro Coli
Improving computer communication performance by reducing memory bandwidth consumption.,James P. M. Ntozi
Improving computer communication performance by reducing memory bandwidth consumption.,André Frank Krause
Incorporating guarded execution into existing instruction sets.,Amritpal Singh Bhachu
Incorporating guarded execution into existing instruction sets.,Mohamed Medhat Gaber
Incorporating guarded execution into existing instruction sets.,Pietro Coli
Incorporating guarded execution into existing instruction sets.,James P. M. Ntozi
Incremental partial deduction.,Amritpal Singh Bhachu
Incremental partial deduction.,Mohamed Medhat Gaber
Incremental partial deduction.,Pietro Coli
Incremental partial deduction.,James P. M. Ntozi
Induktive Konstruktion von merkmalsbasierten und logischen Klassifikatoren für relationale Strukturen.,Amritpal Singh Bhachu
Induktive Konstruktion von merkmalsbasierten und logischen Klassifikatoren für relationale Strukturen.,Mohamed Medhat Gaber
Induktive Konstruktion von merkmalsbasierten und logischen Klassifikatoren für relationale Strukturen.,Pietro Coli
Induktive Konstruktion von merkmalsbasierten und logischen Klassifikatoren für relationale Strukturen.,James P. M. Ntozi
Inkrementelle wörterbuchbasierte Wortschatzerweiterungen in sprachverarbeitenden Systemen. Entwurf einer konstruktiven Lexikonkonzeption.,Amritpal Singh Bhachu
Inkrementelle wörterbuchbasierte Wortschatzerweiterungen in sprachverarbeitenden Systemen. Entwurf einer konstruktiven Lexikonkonzeption.,Mohamed Medhat Gaber
Inkrementelle wörterbuchbasierte Wortschatzerweiterungen in sprachverarbeitenden Systemen. Entwurf einer konstruktiven Lexikonkonzeption.,Pietro Coli
Inkrementelle wörterbuchbasierte Wortschatzerweiterungen in sprachverarbeitenden Systemen. Entwurf einer konstruktiven Lexikonkonzeption.,James P. M. Ntozi
Inkrementelles Parsing gesprochener Sprache mit einer linksassoziativen Unifikationsgrammatik.,Amritpal Singh Bhachu
Inkrementelles Parsing gesprochener Sprache mit einer linksassoziativen Unifikationsgrammatik.,Mohamed Medhat Gaber
Inkrementelles Parsing gesprochener Sprache mit einer linksassoziativen Unifikationsgrammatik.,Pietro Coli
Instruction-processing optimization techniques for VLSI microprocessors.,Amritpal Singh Bhachu
Instruction-processing optimization techniques for VLSI microprocessors.,Mohamed Medhat Gaber
Instruction-processing optimization techniques for VLSI microprocessors.,Pietro Coli
Integrated natural language generation with Schema-TAGs.,Amritpal Singh Bhachu
Integrated natural language generation with Schema-TAGs.,Mohamed Medhat Gaber
Integrated natural language generation with Schema-TAGs.,Pietro Coli
Integration von Aktionsplanung und Konfigurierung.,Amritpal Singh Bhachu
Integration von Aktionsplanung und Konfigurierung.,Mohamed Medhat Gaber
Integration von Aktionsplanung und Konfigurierung.,Pietro Coli
Integration von Aktionsplanung und Konfigurierung.,James P. M. Ntozi
Integration von Lernobjekten auf Metadatenebene - Ein Web 2.0-geprägter Ansatz.,Amritpal Singh Bhachu
Integration von Lernobjekten auf Metadatenebene - Ein Web 2.0-geprägter Ansatz.,Mohamed Medhat Gaber
Integration von Lernobjekten auf Metadatenebene - Ein Web 2.0-geprägter Ansatz.,Pietro Coli
Integration von Lernobjekten auf Metadatenebene - Ein Web 2.0-geprägter Ansatz.,James P. M. Ntozi
Integration von Lernobjekten auf Metadatenebene - Ein Web 2.0-geprägter Ansatz.,André Frank Krause
Integration von Spracherkennung und Sprachverstehen.,Amritpal Singh Bhachu
Integration von Spracherkennung und Sprachverstehen.,Mohamed Medhat Gaber
Integration von Spracherkennung und Sprachverstehen.,Pietro Coli
Integration von Spracherkennung und Sprachverstehen.,James P. M. Ntozi
Integration von Spracherkennung und Sprachverstehen.,André Frank Krause
Integrierte Hardware- und Softwareplanung flexibler Fertigungssysteme.,Amritpal Singh Bhachu
Integrierte Hardware- und Softwareplanung flexibler Fertigungssysteme.,Mohamed Medhat Gaber
Integrierte Hardware- und Softwareplanung flexibler Fertigungssysteme.,Pietro Coli
Integrierte Hardware- und Softwareplanung flexibler Fertigungssysteme.,James P. M. Ntozi
Integrierte Hardware- und Softwareplanung flexibler Fertigungssysteme.,André Frank Krause
Knowledge maintenance of case-based reasoning systems - the SIAM methodology.,Amritpal Singh Bhachu
Knowledge maintenance of case-based reasoning systems - the SIAM methodology.,Mohamed Medhat Gaber
Knowledge maintenance of case-based reasoning systems - the SIAM methodology.,Pietro Coli
Knowledge maintenance of case-based reasoning systems - the SIAM methodology.,James P. M. Ntozi
Knowledge management for intelligent sales support in electronic commerce.,Amritpal Singh Bhachu
Knowledge management for intelligent sales support in electronic commerce.,Mohamed Medhat Gaber
Knowledge management for intelligent sales support in electronic commerce.,Pietro Coli
Knowledge management for intelligent sales support in electronic commerce.,James P. M. Ntozi
Knowledge management for intelligent sales support in electronic commerce.,André Frank Krause
Knowledge tracking - a method to analyze cognitive structures.,Amritpal Singh Bhachu
Knowledge tracking - a method to analyze cognitive structures.,Mohamed Medhat Gaber
Knowledge tracking - a method to analyze cognitive structures.,Pietro Coli
Knowledge tracking - a method to analyze cognitive structures.,James P. M. Ntozi
Knowledge tracking - a method to analyze cognitive structures.,André Frank Krause
Kognitive Analyse Formaler Sicherheitskritischer Steuerungssysteme auf Basis eines integrierten Mensch-Maschine-Modells.,Amritpal Singh Bhachu
Kognitive Analyse Formaler Sicherheitskritischer Steuerungssysteme auf Basis eines integrierten Mensch-Maschine-Modells.,Mohamed Medhat Gaber
Kognitive Analyse Formaler Sicherheitskritischer Steuerungssysteme auf Basis eines integrierten Mensch-Maschine-Modells.,Pietro Coli
Kognitive Analyse Formaler Sicherheitskritischer Steuerungssysteme auf Basis eines integrierten Mensch-Maschine-Modells.,James P. M. Ntozi
Kognitives Parsing: Repräsentation und Verarbeitung sprachlichen Wissens.,Amritpal Singh Bhachu
Kognitives Parsing: Repräsentation und Verarbeitung sprachlichen Wissens.,Mohamed Medhat Gaber
Kognitives Parsing: Repräsentation und Verarbeitung sprachlichen Wissens.,Pietro Coli
Kognitives Parsing: Repräsentation und Verarbeitung sprachlichen Wissens.,James P. M. Ntozi
Konfiguration und Rekonfiguration mittels constraint-basierter Modellierung.,Amritpal Singh Bhachu
Konfiguration und Rekonfiguration mittels constraint-basierter Modellierung.,Mohamed Medhat Gaber
Konfiguration und Rekonfiguration mittels constraint-basierter Modellierung.,Pietro Coli
Konfiguration und Rekonfiguration mittels constraint-basierter Modellierung.,James P. M. Ntozi
Konfiguration und Rekonfiguration mittels constraint-basierter Modellierung.,André Frank Krause
Konfigurierbare Problemlösungsmethoden am Beispiel der Problemklassen - Zuordnung und Diagnostik.,Amritpal Singh Bhachu
Konfigurierbare Problemlösungsmethoden am Beispiel der Problemklassen - Zuordnung und Diagnostik.,Mohamed Medhat Gaber
Konfigurierbare Problemlösungsmethoden am Beispiel der Problemklassen - Zuordnung und Diagnostik.,Pietro Coli
Konsistenzbasierte Handlungsplanung.,Amritpal Singh Bhachu
Konsistenzbasierte Handlungsplanung.,Mohamed Medhat Gaber
Konsistenzbasierte Handlungsplanung.,Pietro Coli
Konsistenzbasierte Handlungsplanung.,James P. M. Ntozi
Konstruktion von Wissensrepräsentationssprachen durch Nutzen und Erweitern objektorientierter Sprachmittel.,Amritpal Singh Bhachu
Konstruktion von Wissensrepräsentationssprachen durch Nutzen und Erweitern objektorientierter Sprachmittel.,Mohamed Medhat Gaber
Konstruktion von Wissensrepräsentationssprachen durch Nutzen und Erweitern objektorientierter Sprachmittel.,Pietro Coli
Konstruktion von Wissensrepräsentationssprachen durch Nutzen und Erweitern objektorientierter Sprachmittel.,James P. M. Ntozi
Konstruktion von Wissensrepräsentationssprachen durch Nutzen und Erweitern objektorientierter Sprachmittel.,André Frank Krause
Konstruktiv adäquate Beweisautomatisierung für intuitionistische Logik.,Amritpal Singh Bhachu
Konstruktiv adäquate Beweisautomatisierung für intuitionistische Logik.,Mohamed Medhat Gaber
Konstruktiv adäquate Beweisautomatisierung für intuitionistische Logik.,Pietro Coli
Konstruktiv adäquate Beweisautomatisierung für intuitionistische Logik.,James P. M. Ntozi
Konstruktiv adäquate Beweisautomatisierung für intuitionistische Logik.,André Frank Krause
Konstruktives Training von probabilistischen neuronalen Netzen für die Musterklassifikation.,Amritpal Singh Bhachu
Konstruktives Training von probabilistischen neuronalen Netzen für die Musterklassifikation.,Mohamed Medhat Gaber
Konstruktives Training von probabilistischen neuronalen Netzen für die Musterklassifikation.,Pietro Coli
Konstruktives Training von probabilistischen neuronalen Netzen für die Musterklassifikation.,James P. M. Ntozi
Konstruktives Training von probabilistischen neuronalen Netzen für die Musterklassifikation.,André Frank Krause
Konzeptbildende Analogie - Integration von Conceptual Clustering und analogem Schließen zur effizienten Unterstützung von Entwurfsaufgaben: motiviert durch und illustriert an Aufgaben aus der Bauarchitektur.,Amritpal Singh Bhachu
Konzeptbildende Analogie - Integration von Conceptual Clustering und analogem Schließen zur effizienten Unterstützung von Entwurfsaufgaben: motiviert durch und illustriert an Aufgaben aus der Bauarchitektur.,Mohamed Medhat Gaber
Konzeptbildende Analogie - Integration von Conceptual Clustering und analogem Schließen zur effizienten Unterstützung von Entwurfsaufgaben: motiviert durch und illustriert an Aufgaben aus der Bauarchitektur.,Pietro Coli
Konzeptbildende Analogie - Integration von Conceptual Clustering und analogem Schließen zur effizienten Unterstützung von Entwurfsaufgaben: motiviert durch und illustriert an Aufgaben aus der Bauarchitektur.,James P. M. Ntozi
Kortikale Karten und präattentive Wahrnehmung - über Segmentierungsleistungen und die Geometrie der Reizrepräsentation.,Amritpal Singh Bhachu
Kortikale Karten und präattentive Wahrnehmung - über Segmentierungsleistungen und die Geometrie der Reizrepräsentation.,Mohamed Medhat Gaber
Kortikale Karten und präattentive Wahrnehmung - über Segmentierungsleistungen und die Geometrie der Reizrepräsentation.,Pietro Coli
Lastverteilung für feinkörnig parallelisiertes Branch-and-Bound.,Amritpal Singh Bhachu
Lastverteilung für feinkörnig parallelisiertes Branch-and-Bound.,Mohamed Medhat Gaber
Lastverteilung für feinkörnig parallelisiertes Branch-and-Bound.,Pietro Coli
Lastverteilung für feinkörnig parallelisiertes Branch-and-Bound.,James P. M. Ntozi
Lazy generation of induction hypotheses and patching faulty conjectures.,Amritpal Singh Bhachu
Lazy generation of induction hypotheses and patching faulty conjectures.,Mohamed Medhat Gaber
Lazy generation of induction hypotheses and patching faulty conjectures.,Pietro Coli
Lazy generation of induction hypotheses and patching faulty conjectures.,James P. M. Ntozi
Lazy generation of induction hypotheses and patching faulty conjectures.,André Frank Krause
Learning as knowledge integration.,Amritpal Singh Bhachu
Learning as knowledge integration.,Mohamed Medhat Gaber
Learning as knowledge integration.,Pietro Coli
Learning as knowledge integration.,James P. M. Ntozi
Learning as knowledge integration.,André Frank Krause
Learning first-order concept definitions by using a bidirectional heuristic search strategy.,Amritpal Singh Bhachu
Learning first-order concept definitions by using a bidirectional heuristic search strategy.,Mohamed Medhat Gaber
Learning first-order concept definitions by using a bidirectional heuristic search strategy.,Pietro Coli
Learning first-order concept definitions by using a bidirectional heuristic search strategy.,James P. M. Ntozi
Learning search control knowledge for equational deduction.,Amritpal Singh Bhachu
Learning search control knowledge for equational deduction.,Mohamed Medhat Gaber
Learning search control knowledge for equational deduction.,Pietro Coli
Lernen durch Genetisch-Neuronale Evolution: Aktive Anpassung an unbekannte Umgebungen mit selbstentwickelten parallelen Netzwerken.,Amritpal Singh Bhachu
Lernen durch Genetisch-Neuronale Evolution: Aktive Anpassung an unbekannte Umgebungen mit selbstentwickelten parallelen Netzwerken.,Mohamed Medhat Gaber
Lernen durch Genetisch-Neuronale Evolution: Aktive Anpassung an unbekannte Umgebungen mit selbstentwickelten parallelen Netzwerken.,Pietro Coli
Local and semi-global approaches to the extraction of 3D anatomical landmarks from 3D tomographic images.,Amritpal Singh Bhachu
Local and semi-global approaches to the extraction of 3D anatomical landmarks from 3D tomographic images.,Mohamed Medhat Gaber
Local and semi-global approaches to the extraction of 3D anatomical landmarks from 3D tomographic images.,Pietro Coli
Local and semi-global approaches to the extraction of 3D anatomical landmarks from 3D tomographic images.,James P. M. Ntozi
"Local search algorithms for combinatorial problems - analysis, improvements, and new applications.",Amritpal Singh Bhachu
"Local search algorithms for combinatorial problems - analysis, improvements, and new applications.",Mohamed Medhat Gaber
"Local search algorithms for combinatorial problems - analysis, improvements, and new applications.",Pietro Coli
Logic-based representation and reasoning for user modeling shell systems.,Amritpal Singh Bhachu
Logic-based representation and reasoning for user modeling shell systems.,Mohamed Medhat Gaber
Logic-based representation and reasoning for user modeling shell systems.,Pietro Coli
Logic-based representation and reasoning for user modeling shell systems.,James P. M. Ntozi
Logic-based representation and reasoning for user modeling shell systems.,André Frank Krause
Logical foundations of reactive default reasoning.,Amritpal Singh Bhachu
Logical foundations of reactive default reasoning.,Mohamed Medhat Gaber
Logical foundations of reactive default reasoning.,Pietro Coli
MODEL-K: Modellierung und Operationalisierung von Selbsteinschätzung und -steuerung durch Reflexion und Metawissen.,Amritpal Singh Bhachu
MODEL-K: Modellierung und Operationalisierung von Selbsteinschätzung und -steuerung durch Reflexion und Metawissen.,Mohamed Medhat Gaber
MODEL-K: Modellierung und Operationalisierung von Selbsteinschätzung und -steuerung durch Reflexion und Metawissen.,Pietro Coli
Maschinelles Lernen Bayes'scher Netze für benutzeradaptive Systeme.,Amritpal Singh Bhachu
Maschinelles Lernen Bayes'scher Netze für benutzeradaptive Systeme.,Mohamed Medhat Gaber
Maschinelles Lernen Bayes'scher Netze für benutzeradaptive Systeme.,Pietro Coli
Maschinelles Lernen Bayes'scher Netze für benutzeradaptive Systeme.,James P. M. Ntozi
Maschinelles Lernen Bayes'scher Netze für benutzeradaptive Systeme.,André Frank Krause
Measurement-based feedback in a process-centered software engineering environment.,Amritpal Singh Bhachu
Measurement-based feedback in a process-centered software engineering environment.,Mohamed Medhat Gaber
Measurement-based feedback in a process-centered software engineering environment.,Pietro Coli
Measurement-based feedback in a process-centered software engineering environment.,James P. M. Ntozi
Measurement-based feedback in a process-centered software engineering environment.,André Frank Krause
Measuring and modelling image structure.,Amritpal Singh Bhachu
Measuring and modelling image structure.,Mohamed Medhat Gaber
Measuring and modelling image structure.,Pietro Coli
Measuring and modelling image structure.,James P. M. Ntozi
Measuring and modelling image structure.,André Frank Krause
Method for the design of embedded fault-tolerant computers for process control and design example.,Amritpal Singh Bhachu
Method for the design of embedded fault-tolerant computers for process control and design example.,Mohamed Medhat Gaber
Method for the design of embedded fault-tolerant computers for process control and design example.,Pietro Coli
Method for the design of embedded fault-tolerant computers for process control and design example.,James P. M. Ntozi
Metonymien - eine computerlinguistische Analyse.,Amritpal Singh Bhachu
Metonymien - eine computerlinguistische Analyse.,Mohamed Medhat Gaber
Metonymien - eine computerlinguistische Analyse.,Pietro Coli
Metonymien - eine computerlinguistische Analyse.,James P. M. Ntozi
MoKon - Ein Ansatz zur Wissensbasierten Konfiguration von Variantenerzeugnissen.,Amritpal Singh Bhachu
MoKon - Ein Ansatz zur Wissensbasierten Konfiguration von Variantenerzeugnissen.,Mohamed Medhat Gaber
MoKon - Ein Ansatz zur Wissensbasierten Konfiguration von Variantenerzeugnissen.,Pietro Coli
Modal logic and the Curry-Howard isomorphism.,Amritpal Singh Bhachu
Modal logic and the Curry-Howard isomorphism.,Mohamed Medhat Gaber
Modal logic and the Curry-Howard isomorphism.,Pietro Coli
Modal logic and the Curry-Howard isomorphism.,James P. M. Ntozi
"Modellbasierte, interaktive Wissensakquisition und Dokumentation von Domänenwissen (MIKADO).",Amritpal Singh Bhachu
"Modellbasierte, interaktive Wissensakquisition und Dokumentation von Domänenwissen (MIKADO).",Mohamed Medhat Gaber
"Modellbasierte, interaktive Wissensakquisition und Dokumentation von Domänenwissen (MIKADO).",Pietro Coli
Modellierung dynamischer Systeme mit vorstrukturierten neuronalen Netzen.,Amritpal Singh Bhachu
Modellierung dynamischer Systeme mit vorstrukturierten neuronalen Netzen.,Mohamed Medhat Gaber
Modellierung dynamischer Systeme mit vorstrukturierten neuronalen Netzen.,Pietro Coli
Modellierung und Manipulation von Bild- und Grafikdaten mit neuronalen Netzen.,Amritpal Singh Bhachu
Modellierung und Manipulation von Bild- und Grafikdaten mit neuronalen Netzen.,Mohamed Medhat Gaber
Modellierung und Manipulation von Bild- und Grafikdaten mit neuronalen Netzen.,Pietro Coli
Modellierung und Manipulation von Bild- und Grafikdaten mit neuronalen Netzen.,James P. M. Ntozi
Modellierung von Expertise über Konfigurierungsaufgaben.,Amritpal Singh Bhachu
Modellierung von Expertise über Konfigurierungsaufgaben.,Mohamed Medhat Gaber
Modellierung von Expertise über Konfigurierungsaufgaben.,Pietro Coli
Modellierung von Expertise über Konfigurierungsaufgaben.,James P. M. Ntozi
Modellierung von Expertise über Konfigurierungsaufgaben.,André Frank Krause
Modellkonstruktion in MIKE. Methoden und Werkzeuge.,Amritpal Singh Bhachu
Modellkonstruktion in MIKE. Methoden und Werkzeuge.,Mohamed Medhat Gaber
Modellkonstruktion in MIKE. Methoden und Werkzeuge.,Pietro Coli
Models of control and their implications for programming language design.,Amritpal Singh Bhachu
Models of control and their implications for programming language design.,Mohamed Medhat Gaber
Models of control and their implications for programming language design.,Pietro Coli
Modulare Problemlösungsarchitekturen für Konstruktionssysteme.,Amritpal Singh Bhachu
Modulare Problemlösungsarchitekturen für Konstruktionssysteme.,Mohamed Medhat Gaber
Modulare Problemlösungsarchitekturen für Konstruktionssysteme.,Pietro Coli
Modulare Problemlösungsarchitekturen für Konstruktionssysteme.,James P. M. Ntozi
Modularisierung und Fokussierung erweiterbarer komplexer Wissensbasen auf der Basis von Kompetenzeinheiten.,Amritpal Singh Bhachu
Modularisierung und Fokussierung erweiterbarer komplexer Wissensbasen auf der Basis von Kompetenzeinheiten.,Mohamed Medhat Gaber
Modularisierung und Fokussierung erweiterbarer komplexer Wissensbasen auf der Basis von Kompetenzeinheiten.,Pietro Coli
Modularisierung und Fokussierung erweiterbarer komplexer Wissensbasen auf der Basis von Kompetenzeinheiten.,James P. M. Ntozi
Modularisierung und Fokussierung erweiterbarer komplexer Wissensbasen auf der Basis von Kompetenzeinheiten.,André Frank Krause
Modularity in model-oriented formal specifications and its interaction with formal reasoning.,Amritpal Singh Bhachu
Modularity in model-oriented formal specifications and its interaction with formal reasoning.,Mohamed Medhat Gaber
Modularity in model-oriented formal specifications and its interaction with formal reasoning.,Pietro Coli
Modularity in model-oriented formal specifications and its interaction with formal reasoning.,James P. M. Ntozi
Monitoring of multicast networks for time-synchronous communication.,Amritpal Singh Bhachu
Monitoring of multicast networks for time-synchronous communication.,Mohamed Medhat Gaber
Monitoring of multicast networks for time-synchronous communication.,Pietro Coli
Motion planning for manipulators with many degrees of freedom - the BB-method.,Amritpal Singh Bhachu
