paper,keywords,topics
Chip-scale quadrupole mass filters for a Micro-Gas Analyzer.,filters:mass,Numerical Analysis
De novo peptide sequencing from matrix-assisted laser desorption/ionization-time of flight post-source-decay spectra.,matrix-assisted:sequencing:novo,Multiagent Systems
Online machine learning approach to multicore data structures.,online:machine:structures.,Databases
Integrated managment systems: proposal for a multi-criteria strategic decision procedure (Sistemas integrados de gestão: proposta para um procedimento de decisão multicritérios para avaliação estratégica).,procedimento:managment,Computer Vision and Pattern Recognition
Alinhamento do planejamento estratégico da tecnologia da informação ao planejamento empresarial.,alinhamento:planejamento:empresarial.,Information Theory
Comunicação científica para o público leigo no Brasil.,comunicação:brasil.,Multiagent Systems
Improving Organic light emitting device technology for displays.,device:emitting:light,Computational Engineering Finance and Science
Mode conversion current drive experiments on Alcator C-Mod.,alcator:drive,Computation and Language
Secundary analysis of experimental software engineering.,experimental:analysis,Information Retrieval
Bayesian population inference for effective connectivity.,bayesian:population,Sound
Investigation of strategies for the generation of multiclass support vector machines.,support:multiclass,Numerical Analysis
An exploration of the relationship between business process redesign and information technology infrastructures.,redesign:process:exploration,Computational Engineering Finance and Science
Um método de apoio à autoria de vídeos acessíveis.,método:autoria,Networking and Internet Architecture
Estimation and hierarchical control of market-driven electric power systems.,systems.:control:power,Computer Science and Game Theory
Resistência à educação a distância na educação corporativa.,educação:resistência:educação,Computation and Language
Control and estimation for large-scale systems having spatial symmetry.,systems:symmetry.,General Literature
Estudo e aplicação de metodologia para reengenharia de tesauro: remodelagem do THESAGRO.,metodologia:tesauro:,Computational Complexity
"Computational models of trust and reputation: agents, evolutionary games, and social networks.","models:games,",Operating Systems
"Cuida, um modelo de conhecimento de qualidade de contexto aplicado aos ambientes ubíquos internos em domicílios assistidos.","qualidade:contexto:cuida,",Hardware Architecture
A linguística de corpus no ensino-aprendizagem de línguas.,corpus:ensino-aprendizagem:linguística,Distributed Parallel and Cluster Computing
A proximal atomic coordination algorithm for distributed optimization in distribution grids.,coordination:optimization,Computers and Society
3D positioning and dimensioning method based on digital images.,method:images.:3d,Cryptography and Security
Improving clinical decisions using correspondences within and across electronic health records.,clinical:within:decisions,Cryptography and Security
Avaliação de controle neural a um processo de quatro tanques acoplados.,tanques:processo:quatro,Digital Libraries
Study of gas and gas-solid flow in ciclones using computational fluid dynamics technics.,technics.:fluid:using,Artificial Intelligence
An attentional model for intelligent robotics agents.,agents.:model:robotics,Computer Science and Game Theory
Controle de erro em redes ATM sem fio.,atm:redes,Other Computer Science
Proposition of Theoretical Model for Assessing Internal Cohesion of the Virtual Learning in Higher Education (Proposição de modelo teórico para avaliar a coesão interna de comunidades virtuais de aprendizagem (CVA) no ensino superior).,learning:virtuais:higher,Computation and Language
Planning and tracking of trajectories and position control by genetic algorithms and artificial neural networks.,trajectories:algorithms,Mathematical Software
Limits of High Harmonic Generation conversion efficiency.,high:limits,Sound
Vibration of nonlocal carbon nanotubes and graphene nanoplates.,nanotubes:carbon,Machine Learning
"Análise de interdependência dos habilitadores tecnológicos, empresariais e humanos no desenvolvimento de base de dados pessoal.","tecnológicos,:interdependência",Multiagent Systems
Recuperação multimodal e interativa de informação orientada por diversidade.,informação:interativa:orientada,Other Computer Science
"A comparative analysis of the success of students placed in the lowest level of remedial coursework taken through CAI versus a traditional remedial education mode of instruction: implications for success, retention and costs.",education:remedial,Machine Learning
Micro-optic elements for a compact opto-electronic integrated neural coprocessor.,neural:compact,Other Computer Science
Modelo de informação baseado em relacionamentos entre objetos gerenciados pela gerência integrada de ambientes de telecomunicações.,modelo:telecomunicações.,Robotics
O problema MODn com composição de autômatos celulares unidimensionais: resolução e simplificações.,celulares:autômatos,Computer Vision and Pattern Recognition
Artificial generation of populations for machine learning classifiers training to glaucoma diagnosis support (Geração de populações artificiais para treinamento de classificadores de apoio ao diagnóstico de glaucoma).,glaucoma).:classificadores,Distributed Parallel and Cluster Computing
Algoritmos particionais semissupervisionados com ponderação automática de variáveis.,particionais:variáveis.:algoritmos,Multiagent Systems
Encaixe Geral de Figuras Planas.,figuras:geral,Discrete Mathematics
Proposta de um sistema de gestão de riscos viários (SIGRAV/2009) usando geointeligência para rodovias do Estado de Santa Catarina - Sul do Brasil.,santa:(sigrav/2009),Computation and Language
Algebraic relaxations and hardness results in polynomial optimization and Lyapunov analysis.,polynomial:algebraic:analysis.,Graphics
Quantum mechanical transport in submicron electronic devices.,devices.:electronic,Hardware Architecture
Minimally invasive diagnostic imaging using high resolution Optical Coherence Tomography.,invasive:tomography.,Computational Complexity
Análise do padrão brasileiro de metadados de teses e dissertações segundo o modelo entidade-relacionamento.,dissertações:entidade-relacionamento.:padrão,Hardware Architecture
Models and algorithms for the assembly line worker assignment and balancing problem.,line:assignment,Information Theory
Realtime state estimation for contact manipulation.,contact:estimation,Logic in Computer Science
Avaliação de projetos de investimento em TI utilizando opções reais: aplicações no setor de indústrias alimentícias no estado do Ceará.,projetos:utilizando,Graphics
Computer vision methods applicable to forensic science.,methods:vision,Computer Science and Game Theory
Competências necessárias para equipes de profissionais de preservação digital.,preservação:equipes,Discrete Mathematics
Governo eletrônico e direito administrativo.,administrativo.:governo:direito,Distributed Parallel and Cluster Computing
Improving FPGA designs with incremental logic resynthesis and shortcut-based routing architecture.,routing:resynthesis,Social and Information Networks
Análise de fatores que impulsionam a colaboração para a inovação por meio do uso de tecnologias baseadas na web.,web.:análise,Robotics
Analysis of urbanization in China by remotely-sensed data.,remotely-sensed:urbanization:data.,Logic in Computer Science
Jogos computacionais fonoarticulatorios para crianças com deficiencia auditiva.,auditiva.:crianças,Computation and Language
Providing quality of service guarantees in input buffered crossbar switches with speedup.,speedup.:service:guarantees,Numerical Analysis
Identifying protein-coding genes and synonymous constraint elements using phylogenetic codon models.,elements:codon:protein-coding,Machine Learning
Trabalho colaborativo em rede no Projeto Um Computador por Aluno (UCA): conhecimentos e práticas docentes.,conhecimentos:trabalho,Logic in Computer Science
Estimation of obstacles and road area with sparse 3D points (Estimação de obstáculos e área de pista com pontos 3D esparsos).,obstáculos:pontos:3d,Databases
A communications-based typology of collaboration in decision-making.,typology:collaboration:decision-making.,Computation and Language
An accessible web navigation aid for blind users.,web:accessible,Data Structures and Algorithms
Transmission diffraction gratings for soft x-ray spectroscopy and spatial period division.,spectroscopy:soft,Social and Information Networks
Pensamento tecnológico e criatividade na comunicação: prospecções acerca do pós-humano e da prática gráfica do rafe.,prática:pensamento,Robotics
"Comunicação científica: agregação, compartilhamento e reuso de elementos informacionais.",compartilhamento:científica:,Computers and Society
"Expressividade e complexidade em lógicas preferenciais, híbridas e de grau limitado.",limitado.:expressividade,Digital Libraries
Mining architectural violations from version history.,history.:architectural:mining,Computer Vision and Pattern Recognition
Codigos de bloco sobre aneis inteiros aplicados as modulações OAM.,inteiros:bloco,Operating Systems
Rhetorical analysis based on large amount of data.,large:based,Emerging Technologies
O modelo GSS-COBITIL para gerenciamento de suporte de serviços de tecnologia da informação.,suporte:gss-cobitil:tecnologia,Logic in Computer Science
Um metodo de controle de acesso para rede local com fibras opticas e integração de voz e dados.,dados.:voz,Computation and Language
Contributions to quantum-Safe Cryptography: Hybrid Encryption and Reducing the T gate Cost of AES.,aes.:encryption,Software Engineering
Flexible and expressive substrate for computation.,substrate:computation.,Artificial Intelligence
Energy-aware system design using circuit reconfigurability with a focus on low-power SRAMs.,focus:system,Mathematical Software
Optimal pre- and post-filtering in noisy sampled-data systems.,post-filtering:systems.:pre-,Graphics
A cognitive approach to self-configuration of communication protocols.,self-configuration:communication:protocols.,Emerging Technologies
Experiências com tolerância a faltas no CORBA e extensões ao FT-CORBA para sistemas distribuidos de larga escala.,tolerância:ft-corba:escala.,Distributed Parallel and Cluster Computing
A framework for cluster analysis based in the multi-objective combination of clustering algorithms.,combination:cluster,Computer Vision and Pattern Recognition
Energy-efficient video decoding using data statistics.,decoding:energy-efficient:statistics.,Data Structures and Algorithms
Temporal pattern recognition in multiparameter ICU data.,icu:pattern,Computer Vision and Pattern Recognition
Volumetric mesh generation from images.,images.:generation:mesh,Multimedia
Modelos de redes neurais baseados em entrada para calibrar a precipitação média de um sistema de previsão por conjuntos.,baseados:sistema,Emerging Technologies
Minimally intrusive strategies for fault detection and energy monitoring.,intrusive:energy,Discrete Mathematics
Avaliação das vias aéreas por tomografia computadorizada em pacientes com asma grave não controlada após otimização terapêutica e sua correlação com aspectos funcionais.,grave:correlação:controlada,Discrete Mathematics
Modelo fuzzy cascata multiatributos e preditivo para despacho de AGVs em FMS.,preditivo:fuzzy,Computational Engineering Finance and Science
Computational methods for analysis and characterization of the relationship between anatomy and gene expression in biological systems (Métodos computacionais para a caracterização e análise da relação entre anatomia e expressão gênica em sistemas biológicos).,análise:sistemas,Discrete Mathematics
Mediação cultural em instituições arquivísticas: o caso do arquivo público do estado do Espírito Santo.,público:arquivo:mediação, Computational Geometry
Modelling OOV words for robust speech recognition.,robust:speech:words,Logic in Computer Science
Hybrid qualitative state plan problem and mission planning with UAVs.,planning:mission:plan,Databases
Um terminal grafico interativo baseado na tecnologia do TV Raster.,grafico:interativo,Logic in Computer Science
Numerical solution of singular integro-differential equation.,integro-differential:equation.:numerical,Digital Libraries
Autonomic hardware manager: uma arquitetura de hardware autonômico usando a solução de repositório ativo de componentes.,componentes.:ativo:repositório,General Literature
Multi-rigid-body contact dynamics and haptic interaction for fixture loading planning.,multi-rigid-body:planning.,Performance
Estudo de processos a energias médias e altas pelo método Monte Carlo.,monte:altas:médias,Computation and Language
Coherent control of polarized neutron interferometry.,control:interferometry., Computational Geometry
Coaxial recess integration of InGaAs/InP edge emitting laser diodes with waveguides on silicon substrates: a complete solution to laser integration on ICs.,edge:complete,Discrete Mathematics
"Traumatismo raquimedular: aspectos epidemiológicos, clínicos e radiológicos.",traumatismo:aspectos,Computational Complexity
Performance and security issues in peer-to-peer based content distribution networks.,performance:based:distribution,Multiagent Systems
Below P vs NP: fine-grained hardness for big data problems.,data:np::vs,Social and Information Networks
Comunicação e cultura Nobrow: a internacionalização do inclassificável pelo ciberespaço.,internacionalização:comunicação:inclassificável,Computer Vision and Pattern Recognition
A loosely coupled architecture to run workflow control-flow patterns in grid.,coupled:workflow:control-flow,Artificial Intelligence
Os fatores da governança da informação e seus efeitos diretos e indiretos sobre o valor na percepção dos executivos de TI: um modelo para a indústria bancária.,indiretos:governança,Symbolic Computation
Highly parallel solid modeling in image space.,parallel:modeling:space.,Sound
Perfect codes in the Lee and Chebyshev metrics and iterating Rédei functions.,perfect:codes:functions.,Systems and Control
Avaliação dos diagramas de fase do sistema LiF-GdF3 - LuF3 utilizando termodinâmica computacional.,diagramas:termodinâmica, Computational Geometry
Redes neurais artificiais e máquinas de vetores suporte.,redes:suporte.,Information Retrieval
Estudo da sensibilidade nos cruzamentos de dados vetoriais nos SIG por meio da propagação de erros.,vetoriais:estudo:erros.,Human-Computer Interaction
Peirce e a organização da informação: contribuições teóricas da semiótica e do pragmatismo.,teóricas:peirce,Databases
"A Clifford algebra of signature (n,3n) and the density operators of quantum information theory.","quantum:(n,3n):theory.",Information Theory
O programa softex e a industria de software no Brasil.,software:industria:brasil.,Hardware Architecture
Adult Learners' Preferred Methods of Learning Preventative Heart Disease Care.,methods:care.,Sound
Abacus - a reconfigurable bit-parallel architecture for early vision.,abacus:reconfigurable:architecture,Operating Systems
Construções geométricas no ambiente virtual de ensino TeleMeios com mediação na Sequencia Fedathi.,virtual:construções,Databases
Infection processes on networks with structural uncertainty.,uncertainty.:processes:networks,Emerging Technologies
Turing's analysis of computation and artificial neural network.,neural:artificial:network.,Mathematical Software
Monolithic electronic-photonic integration in state-of-the-art CMOS processes.,processes.:integration,Robotics
Generative programming as language and communication: executable code routine processes as an information transmission tool (Programação generativa como linguagem e comunicação: processos de rotinas de código executável como ferramenta de transmissão da informação).,language:código:rotinas,Robotics
Algorithms with theoretical guarantees for several database problems.,several:theoretical,Digital Libraries
"SimulaçãO de Transporte E DeposiçãO de sedimentos SilicicláSticos EM Ambientes de Plataforma, Talude E Bacia.",siliciclásticos:bacia.:deposição,Digital Libraries
Compilation techniques for short-vector instructions.,short-vector:techniques,Computer Vision and Pattern Recognition
Abordagem geométrica: possibilidades para o ensino e aprendizagem de Introdução às Equações Diferenciais Ordinárias.,ensino:introdução,Robotics
Relaxed concurrent ordering structures.,ordering:structures.,Computers and Society
Development of a concentration-enhanced mobility shift assay platform for aptamer-based biomarker detection and kinase profiling.,mobility:development,Multimedia
Heterogeneous integration of two-dimensional materials for on-chip optical interconnects.,materials:on-chip:optical,Multimedia
ScreenVar - a biclustering-based methodology for evaluating structural variants.,biclustering-based:evaluating:variants.,Distributed Parallel and Cluster Computing
Coincidence detection in the cochlear nucleus: implications for the coding of pitch.,cochlear:nucleus:,Databases
Characterization and modeling of pattern dependencies in copper interconnects for integrated circuits.,copper:interconnects:characterization,Programming Languages
Proposta de um controlador otimo de altura da plataforma de corte de colhedoras.,proposta:controlador, Computational Geometry
Object-oriented architecture for high-order FEM with applications on structural mechanics.,high-order:object-oriented:architecture,Cryptography and Security
Consolidação de componentes de modelos de negócios para o comércio eletrônico de produtos virtuais.,negócios:produtos:eletrônico,Mathematical Software
Computational study of the effects of the confinement and the interacting solutes on the properties of the water-like models.,computational:models.,Discrete Mathematics
"Portable computer systems implementation in a law enforcement organization: A study of the relationships among user satisfaction, user characteristics and MIS success.",enforcement:among,Software Engineering
Fuzzy angel: uma arquitetura distribuída de telemedicina para monitoramento de pacientes com esclerose lateral amiotrófica.,esclerose:fuzzy:arquitetura,Performance
Modelo de projeto de controle térmico de satélites baseado em experimentos e otimizações - aplicação em satélite estabilizado em três eixos.,baseado:controle:eixos.,Multimedia
Avaliação de potencial hidroelétrico com aplicação de sistema de informações geográficas.,potencial:geográficas.:hidroelétrico,Graphics
Karytu: um ambiente computadorizado para o letramento de crianças surdas sob a otica bilingue.,bilingue.:letramento,Numerical Analysis
Shape from shading com projeção perspectiva e calibração de camara.,camara.:projeção:shape,Other Computer Science
Sequential decoding for multiple access channels.,multiple:channels.:access,Computational Complexity
Contribuições para o problema de verificação de equivalência combinacional.,combinacional.:problema:equivalência,Computation and Language
Polynomial identity testing of read-once oblivious algebraic branching programs.,algebraic:testing,Cryptography and Security
Associative information network and applications to an intelligent search engine.,intelligent:engine.:applications,Neural and Evolutionary Computing
Uma investigação sobre equipes de alto desempenho em desenvolvimento de software.,desenvolvimento:alto,Numerical Analysis
Efficiency loss mechanisms in colloidal quantum-dot light-emitting diodes.,quantum-dot:mechanisms,Machine Learning
Characterization and mitigation of process variation in digital circuits and systems.,mitigation:variation:circuits,Emerging Technologies
Electromagnetic field computation and photonic band gap devices.,gap:photonic:band,Databases
Knowledge management contribution measurement model in organization results (Um modelo de mensuração da contribuição da gestão do conhecimento nos resultados organizacionais).,conhecimento:(um:contribution,Formal Languages and Automata Theory
Global estimation of precipitation using opaque microwave bands.,bands.:using:estimation,Operating Systems
Open access and copyright: the electronic scientific communication of Information Science in Brazil and Portugal (Acesso livre e direito de autor: a comunicação científica eletrônica da Ciência da Informação no Brasil e em Portugal).,scientific:electronic:ciência,Emerging Technologies
Analysis and implementation of implicit and projection methods for free surface flows.,analysis:methods,Multiagent Systems
Controlador nebuloso de arquitetura simplificada estudo de caso: acionamento de motor de indução trifasico.,nebuloso:trifasico.,Artificial Intelligence
Sistema híbrido de localização indoor baseado em RFID e análise visual.,híbrido:rfid,Social and Information Networks
Sequenciamento adaptativo de exercícios baseado na correspondência entre a dificuldade da solução e o desempenho dinâmico do aprendiz.,dificuldade:aprendiz.,Machine Learning
Técnicas de decomposição de domínio em computação paralela para simulação de campos eletromagnéticos pelo método dos elementos finitos.,computação:finitos.,Sound
Interleaved conversion techniques for high density power supplies.,supplies.:techniques,Computer Vision and Pattern Recognition
Content routing: a scalable architecture for network-based information discovery.,discovery.:network-based:scalable,Numerical Analysis
Optimizing finite automata for DPI engines.,finite:dpi:automata,Other Computer Science
Sintese evolutiva de segmentos sonoros.,segmentos:sonoros.:sintese,Discrete Mathematics
Inclusão dos usuários das unidades de informação de Águas Lindas de Goiás por meio do acesso à informação.,meio:acesso:goiás,Computational Engineering Finance and Science
Demonstrating effective all-optical processing in ultrafast data networks using semiconductor optical amplifiers.,demonstrating:amplifiers.,Multiagent Systems
Influence modeling and malicious users identification in interactive networks.,modeling:identification:networks.,Software Engineering
Intelligent strategies applied to autonomous mobile robots and groups of robots.,autonomous:groups,Performance
Ambiente pedagógico colaborativo do Portal Dia-a-Dia Educaçăo: análise do modelo didático-tecnológico /.,didático-tecnológico:portal,Artificial Intelligence
Theory and modeling of field electron emission from low-dimensional electron systems.,theory:systems.:electron,Human-Computer Interaction
Regulation of lubricin gene expression and synthesis in cartilage by mechanical injury.,regulation:mechanical,Computer Science and Game Theory
Human visual-vestibular interactions during postural responses to brief falls.,interactions:human:visual-vestibular,Computational Engineering Finance and Science
Sketch-finder: uma abordagem efetiva e eficiente para recuperação de imagens com base em rascunho para grandes bases de imagens.,eficiente:base,Digital Libraries
Combinação de dados de campo e métodos computacionais para o planejamento da exploração florestal na Amazônia.,amazônia.:exploração,Multimedia
Energy scalability of OCN.,scalability:energy,Software Engineering
Qualidade afetiva em sistemas computacionais: design de interação para e com crianças em contexto de aprendizado.,design:crianças:aprendizado.,Logic in Computer Science
"Computational comparative genomics: genes, regulation, evolution.","genomics::comparative:genes,",Computational Engineering Finance and Science
Expansion microscopy: improving imaging through uniform tissue expansion.,uniform:expansion,Robotics
"Internet use for health: trends, profiles and user behavior.","trends,:health::user",Sound
As relações interdisciplinares refletidas na Ciência da Informação.,interdisciplinares:refletidas,Multimedia
Planning college library buildings for information technology: Case studies of four small colleges.,small:buildings,Logic in Computer Science
Collabortive filtering using machine learning and statistical techniques.,statistical:learning:techniques.,Robotics
O fantasma na máquina: relação entre system-level bureaucracy e screen-level bureaucracy na implementação de políticas públicas.,fantasma:relação:máquina:,Robotics
Métodos para seleção de palavras-chave em sistemas de publicidade contextual.,sistemas:palavras-chave,Human-Computer Interaction
"Analise e previsões de vasões utilizando modelos de series temporais, redes neurais e redes neurais nebulosas.",redes:redes,Other Computer Science
Systematization of medical perception in implementing of content-based image retrieval systems (Sistematização da percepção médica na construção de sistemas para recuperação de imagens por conteúdo).,conteúdo).:recuperação,Formal Languages and Automata Theory
Tools to improve the assertiveness of the lines of research at research institutes: the example of IPEN (Ferramentas para adequação das linhas de pesquisa de intitutos de pesquisa: o exemplo do IPEN).,pesquisa::exemplo,Formal Languages and Automata Theory
Optimization problems in network connectivity.,problems:connectivity.:optimization,Performance
VisualizaçãO Tridimensional combinada de Dados VoluméTricos E Modelos Poligonais usando O algoritmo shear-Warp.,modelos:combinada:algoritmo,Databases
On linear control of decentralized stochastic systems.,systems.:linear,Formal Languages and Automata Theory
The assembly line worker integration and balancing problem.,assembly:balancing,Mathematical Software
Model-based heuristics for capacitated hub location problems.,problems.:capacitated,Software Engineering
Análise gráfica de estruturas porosas sobre a ótica da estereologia.,ótica:análise:gráfica,Computer Science and Game Theory
"Signal processing by the cat middle ear: admittance and transmission, measurements and models.",admittance:measurements:cat,Symbolic Computation
Exploratory visualization on data of learning performance in an adaptable environment (Visualização exploratória de dados do desempenho na aprendizagem em um ambiente adaptável).,data:aprendizagem:ambiente,Computation and Language
Robust stereo motion and structure estimation scheme.,stereo:scheme.:motion,Computation and Language
Integrated analog focal plane processing for automatic alignment.,analog:plane,Computer Vision and Pattern Recognition
Extension for the alpha-power model (Extensões do modelo -potência).,model:alpha-power:modelo,Human-Computer Interaction
Scheduling algorithms for throughput maximization in data networks.,networks.:throughput,Sound
"O suporte ao trafego de internet pela rede optica ""planejamento e projeto"".","internet:optica:""planejamento",Computers and Society
Electric power network economics: designing principles for a for-profit independent transmission company and underlying architectures for reliability.,underlying:designing:economics:,Logic in Computer Science
Jogos de gestão da produção.,produção.:jogos,Data Structures and Algorithms
Solução paralela para sistemas de balanço não-lineares.,sistemas:balanço,Information Theory
FCC: controle preditivo e identificação via redes neurais.,via:controle,Distributed Parallel and Cluster Computing
"A influência da motivação intrínseca e do engajamento multidimensional no desempenho do aluno, sob a perspectiva da sociedade do conhecimento.",desempenho:perspectiva,Networking and Internet Architecture
Novos ataques de canal secundário a dispositivos de entrada manual de dados confidenciais.,canal:novos,Multimedia
Integração visuomotora em ações interceptativas:mecanismos cerebrais e influência da memória de curto prazo e da expectativa.,integração:curto,Neural and Evolutionary Computing
"Quality, Collaboration and citations in cancer Research: a bibliometric Study.","quality,:bibliometric",Machine Learning
A community cloud architecture for real-time applications (Uma arquitetura de nuvem em comunidade para aplicações de tempo real).,nuvem:aplicações, Computational Geometry
Sistemas de recomendação para bibliotecas universitárias: um aporte teórico da arquitetura da informação.,teórico:sistemas,Computational Complexity
Um modelo para provisão de garantia dinâmica de tempo real em middleware baseado em componentes.,dinâmica:real,Emerging Technologies
Optical pulse distortion and manipulation through polarization effects and chromatic dispersion.,optical:chromatic,Software Engineering
Multimodal Interactive DialOgue System.,multimodal:interactive:system.,Sound
Multi-access communications with decision feedback decoding.,decoding.:communications,Artificial Intelligence
Comunicação da informação em redes virtuais de aprendizagem.,informação:redes,Databases
Soil carbon balance in long-term no-till in a sub-tropical environment.,no-till:carbon:balance,Robotics
Integrated capacitive sensors using charge-redistribution sense techniques.,integrated:sense:techniques.,Other Computer Science
Multimaterial fiber electronics.,multimaterial:fiber,Computer Science and Game Theory
Contribuições ao estudo de representação de superfícies com o auxílio do computador.,superfícies:contribuições:estudo,Computer Science and Game Theory
Title model for the next generation Internet (Modelo de título para a próxima geração de Internet).,internet).:próxima,Other Computer Science
"Right of education, family participation and information: the virtuous cycle of the inclusion Direito à educação, participação familiar e informação: o ciclo virtuoso da inclusão().",inclusion:ciclo,Graphics
"Contribuiçao para alocação de faixas de pedestres em vias urbanas com a utilização de um sistema de informações geográficas, baseado no estudo dos fatores de segurança viária.",viária.:sistema:estudo,Distributed Parallel and Cluster Computing
Intrinsically secure communication in large-scale wireless networks.,secure:intrinsically:communication,Information Retrieval
"Rotinas de uso de Computadores, Smartphones E/ou tablets para Acessar Formatos de ConteúDoS Relacionados à TV sob O Ponto de Vista do Design Centrado no USUáRio.",design:centrado,Operating Systems
Uso de heurísticas para a aceleração do aprendizado por reforço.,aceleração:uso:heurísticas,Numerical Analysis
Integração da informação entre os sistemas de gestão do risco estratégico e do planejamento estratégico em uma instituição de ensino superior comunitária do RS.,comunitária:planejamento:estratégico,Data Structures and Algorithms
Detecção de ruídos em problemas de classificação.,detecção:classificação.:problemas, Computational Geometry
A tool for clinical and epidemiological investigation in cardiology based on natural language processing (Instrumento de investigação clínico-epidemiológica em Cardiologia fundamentado no processamento de linguagem natural).,natural:(instrumento:processing,Networking and Internet Architecture
Theory and practice of secret commitment.,practice:commitment.,Computer Vision and Pattern Recognition
Maintaining secrecy when information leakage is unavoidable.,unavoidable.:leakage,Computers and Society
Quality of Accounting Information from the perspective of Information Science (Qualidade da informação contábil na perspectiva da ciência da informação).,information:information,Formal Languages and Automata Theory
Aspectos de comunicação em sistemas distribuidos para aplicações de automação industrial.,industrial.:automação,Mathematical Software
Customizable program analysis via generic abstract interpretation.,abstract:analysis, Computational Geometry
Internet fish.,internet,Hardware Architecture
Projeto e análise de sistemas de busca na web.,análise:projeto,Formal Languages and Automata Theory
"Learning and model-based approaches to improved patient monitoring, assessment and treatment in capnography and procedural sedation.",improved:model-based:treatment,Social and Information Networks
"Decision support system development for growth, nutrition, and sexual maturation analysis for primary care use.",maturation:analysis,Graphics
Aplicação do modelo de Hull-White a precificação de opções sobre IDI.,aplicação:idi.,Computer Science and Game Theory
SíNtese de Circuitos EletrôNicos por ComputaçãO evolutiva.,síntese:eletrônicos:circuitos,Networking and Internet Architecture
Opportunistic sensing and mobile data delivery in the CarTel System.,sensing:delivery:opportunistic,Symbolic Computation
A study on neural conduction as in myelinated structure under pathological conditions.,myelinated:conduction:conditions.,Other Computer Science
Sensing and timekeeping using a light-trapping diamond waveguide.,sensing:diamond:waveguide.,Programming Languages
"Informação, conhecimento e transdisciplinaridade: mudanças na ciência, na universidade e na comunicação científica.",universidade:conhecimento,Computer Science and Game Theory
Representação e persistência para acesso a Recursos Informacionais Digitais gerados dinamicamente em sítios oficiais do Governo Federal.,dinamicamente:gerados:recursos,Digital Libraries
Decoupling congestion control and bandwidth allocation policy with application to high bandwidth-delay product networks.,bandwidth-delay:bandwidth:allocation,Software Engineering
Lower bound techniques for data structures.,techniques:structures.,Social and Information Networks
System identification techniques and modeling for nonintrusive load diagnostics.,identification:load:system,Artificial Intelligence
A robust optimization approach to statistical estimation problems.,approach:estimation,Computation and Language
Real-time mandibular angle reduction surgical simulator with haptic rendering.,angle:rendering.:simulator,Systems and Control
Planejamento da expansão da transmissão de sistemas de energia eletrica utilizando sistemas especialistas.,eletrica:transmissão:planejamento,Performance
Modelos baseados em agentes para simulação de mudanças de uso da terra em escala regional: evolução de arranjos institucionais em regiões de fronteira.,institucionais:terra,Programming Languages
Analysis of machine learning algorithms on bioinformatics data of varying quality.,bioinformatics:machine:quality.,Computer Vision and Pattern Recognition
"A dinâmica dos mecanismos de proteção e compartilhamento de conhecimento, no processo de desenvolvimento de software, em um empresa pública de tecnologia da informação (TI).",desenvolvimento:compartilhamento,Digital Libraries
"Criação de Modelos BIM a partir de ""nuvens de pontos"": estudo de métodos e técnicas para documentação arquitetônica.","partir:modelos:pontos"":",Information Retrieval
A linear prediction approach to two-dimensional spectral factorization and spectral estimation.,two-dimensional:prediction,Formal Languages and Automata Theory
Crosstalk in direct detection optical FDMA networks.,fdma:crosstalk:optical,Computer Science and Game Theory
"Termodinâmica, modelagem e simulação do processo de adsorção e dessorção de BSA e β-lactoglobulina em cromatografia de interação hidrofóbica.",simulação:cromatografia,Programming Languages
Development of MMS for the detection of vulnerable atherosclerotic plaques.,detection:mms,Formal Languages and Automata Theory
Apoio à coleta e curadoria de metadados de observações biológicas.,curadoria:observações:coleta,Information Retrieval
Mapping urban land cover using multi-scale and spatial autocorrelation information in high resolution imagery.,autocorrelation:resolution,Numerical Analysis
Simulação computacional de tungstatos tipo Scheelita para aplicações ópticas.,aplicações:tungstatos:computacional,Logic in Computer Science
Management System of the Image Server to Environment Hospitalar with Content-Based Image Retrieval Support (Sistema de gerenciamento de imagens para ambiente hospitalar com suporte à recuperação de imagens baseada em conteúdo).,conteúdo).:imagens:recuperação,Operating Systems
Soft error mitigation in asynchronous networks on chip.,mitigation:asynchronous:chip.,Databases
Análise de sensibilidade aplicada à identificação de pontos que requerem melhoria na disponibilidade em infraestrura de Cloud.,infraestrura:identificação,Numerical Analysis
Designing fast and programmable routers.,programmable:routers.,Software Engineering
A perspectiva política: um estudo sobre o poder organizacional em unidades de informação.,poder:perspectiva:estudo,Neural and Evolutionary Computing
Real-time detection of malicious network activity using stochastic models.,stochastic:detection,General Literature
A aprendizagem do educador: estratégias para a construção de uma didática on-line.,construção:educador::didática, Computational Geometry
Multifunctional fiber-based neural interfaces.,fiber-based:interfaces.:neural,Information Theory
Estimação da seção em falta e processamento de alarmes em sistemas de potência utilizando um sistema híbrido fundamentado na heurística construtiva e na programação inteira.,sistema:estimação,Machine Learning
The cost of search and evaluation in problem-solving social networks: an experimental study.,cost:experimental,Networking and Internet Architecture
DevC: uma linguagem de suporte ao desenvolvimento concorrente de device drives e modelos de controladores de entrada e saída.,suporte:drives,Software Engineering
Transporte colaborativo marítimo.,colaborativo:marítimo.,Programming Languages
Localization transport studies of granular and nanoporous carbon systems.,localization:studies:transport,Computational Complexity
Sample-based motion planning in high-dimensional and differentially-constrained systems.,motion:differentially-constrained:systems.,Neural and Evolutionary Computing
